Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.spotify.com,35.186.224.53,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotify.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 16 00:00:00 2017 GMT","Jul 29 12:00:00 2020 GMT"
api.spotify.com,35.186.224.53,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
loudr.fm,216.239.32.21,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.loudr.fm","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec  5 00:00:00 2018 GMT","Dec  9 12:00:00 2020 GMT"
loudr.fm,216.239.32.21,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
loudr.fm,216.239.34.21,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.loudr.fm","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec  5 00:00:00 2018 GMT","Dec  9 12:00:00 2020 GMT"
loudr.fm,216.239.34.21,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
loudr.fm,216.239.36.21,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.loudr.fm","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec  5 00:00:00 2018 GMT","Dec  9 12:00:00 2020 GMT"
loudr.fm,216.239.36.21,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
loudr.fm,216.239.38.21,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.loudr.fm","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec  5 00:00:00 2018 GMT","Dec  9 12:00:00 2020 GMT"
loudr.fm,216.239.38.21,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
soundtrap.com,104.154.126.244,tcp,443,https,0,"/C=SE/L=Stockholm/O=Soundtrap AB/CN=www.soundtrap.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","Aug 13 00:00:00 2018 GMT","Nov 15 00:00:00 2020 GMT"
soundtrap.com,104.154.126.244,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:45 2017 GMT","Nov  6 12:23:45 2027 GMT"
soundtrap.com,104.199.64.106,tcp,443,https,0,"/C=SE/L=Stockholm/O=Soundtrap AB/CN=www.soundtrap.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","Aug 13 00:00:00 2018 GMT","Nov 15 00:00:00 2020 GMT"
soundtrap.com,104.199.64.106,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:45 2017 GMT","Nov  6 12:23:45 2027 GMT"
soundtrap.com,104.199.241.98,tcp,443,https,0,"/C=SE/L=Stockholm/O=Soundtrap AB/CN=www.soundtrap.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","Aug 13 00:00:00 2018 GMT","Nov 15 00:00:00 2020 GMT"
soundtrap.com,104.199.241.98,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:45 2017 GMT","Nov  6 12:23:45 2027 GMT"
spotify.com,104.154.127.47,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotify.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 16 00:00:00 2017 GMT","Jul 29 12:00:00 2020 GMT"
spotify.com,104.154.127.47,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
spotify.com,104.199.64.136,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotify.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 16 00:00:00 2017 GMT","Jul 29 12:00:00 2020 GMT"
spotify.com,104.199.64.136,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
spotify.com,104.199.240.211,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotify.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 16 00:00:00 2017 GMT","Jul 29 12:00:00 2020 GMT"
spotify.com,104.199.240.211,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
spotify.net,35.227.201.204,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotify.net","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 16 00:00:00 2017 GMT","Jul 29 12:00:00 2020 GMT"
spotify.net,35.227.201.204,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
spotifyforbrands.com,130.211.46.31,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.spotifyforbrands.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Oct 23 00:00:00 2018 GMT","Oct 27 12:00:00 2020 GMT"
spotifyforbrands.com,130.211.46.31,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
www.loudr.fm,216.58.211.19,tcp,443,https,0,"/C=SE/L=Stockholm/O=Spotify AB/CN=*.loudr.fm","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec  5 00:00:00 2018 GMT","Dec  9 12:00:00 2020 GMT"
www.loudr.fm,216.58.211.19,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
www.soundtrap.com,104.199.64.106,tcp,443,https,0,"/C=SE/L=Stockholm/O=Soundtrap AB/CN=www.soundtrap.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","Aug 13 00:00:00 2018 GMT","Nov 15 00:00:00 2020 GMT"
www.soundtrap.com,104.199.64.106,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=GeoTrust RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:45 2017 GMT","Nov  6 12:23:45 2027 GMT"
