Host,Address,Transport,Port,Service,Component,Version
api.spotify.com,35.186.224.53,tcp,80,http,nginx/nginx,
api.spotify.com,35.186.224.53,tcp,443,https,nginx/nginx,
loudr.com,174.129.25.170,tcp,80,http,nginx/nginx,1.12.2
soundtrap.com,104.154.126.244,tcp,80,http,nginx/nginx,
soundtrap.com,104.154.126.244,tcp,443,http,nginx/nginx,
soundtrap.com,104.154.126.244,tcp,443,https,nginx/nginx,
soundtrap.com,104.199.64.106,tcp,80,http,nginx/nginx,
soundtrap.com,104.199.64.106,tcp,443,http,nginx/nginx,
soundtrap.com,104.199.64.106,tcp,443,https,nginx/nginx,
soundtrap.com,104.199.241.98,tcp,80,http,nginx/nginx,
soundtrap.com,104.199.241.98,tcp,443,http,nginx/nginx,
soundtrap.com,104.199.241.98,tcp,443,https,nginx/nginx,
spotify.com,104.154.127.47,tcp,80,http,nginx/nginx,
spotify.com,104.154.127.47,tcp,443,http,nginx/nginx,
spotify.com,104.154.127.47,tcp,443,https,nginx/nginx,
spotify.com,104.199.64.136,tcp,80,http,nginx/nginx,
spotify.com,104.199.64.136,tcp,443,http,nginx/nginx,
spotify.com,104.199.64.136,tcp,443,https,nginx/nginx,
spotify.com,104.199.240.211,tcp,80,http,nginx/nginx,
spotify.com,104.199.240.211,tcp,443,http,nginx/nginx,
spotify.com,104.199.240.211,tcp,443,https,nginx/nginx,
spotify.net,35.227.201.204,tcp,80,http,apache/apache,
spotify.net,35.227.201.204,tcp,443,https,apache/apache,
www.soundtrap.com,104.199.64.106,tcp,80,http,nginx/nginx,
www.soundtrap.com,104.199.64.106,tcp,443,http,nginx/nginx,
www.soundtrap.com,104.199.64.106,tcp,443,https,nginx/nginx,
www.spotify.com,104.199.64.136,tcp,80,http,nginx/nginx,
www.spotify.com,104.199.64.136,tcp,443,http,nginx/nginx,
www.spotify.com,104.199.64.136,tcp,443,https,nginx/nginx,
