Host,Address,Transport,Port,Service
api.spotify.com,35.186.224.53,tcp,25,smtp
api.spotify.com,35.186.224.53,tcp,80,http
api.spotify.com,35.186.224.53,tcp,110,pop3
api.spotify.com,35.186.224.53,tcp,143,imap
api.spotify.com,35.186.224.53,tcp,443,https
api.spotify.com,35.186.224.53,tcp,8080,http
loudr.com,174.129.25.170,tcp,80,http
loudr.fm,216.239.32.21,tcp,80,http
loudr.fm,216.239.32.21,tcp,443,https
loudr.fm,216.239.34.21,tcp,80,http
loudr.fm,216.239.34.21,tcp,443,https
loudr.fm,216.239.36.21,tcp,80,http
loudr.fm,216.239.36.21,tcp,443,https
loudr.fm,216.239.38.21,tcp,80,http
loudr.fm,216.239.38.21,tcp,443,https
soundtrap.com,104.154.126.244,tcp,80,http
soundtrap.com,104.154.126.244,tcp,443,http
soundtrap.com,104.154.126.244,tcp,443,https
soundtrap.com,104.199.64.106,tcp,80,http
soundtrap.com,104.199.64.106,tcp,443,http
soundtrap.com,104.199.64.106,tcp,443,https
soundtrap.com,104.199.241.98,tcp,80,http
soundtrap.com,104.199.241.98,tcp,443,http
soundtrap.com,104.199.241.98,tcp,443,https
spotify.com,104.154.127.47,tcp,80,http
spotify.com,104.154.127.47,tcp,443,http
spotify.com,104.154.127.47,tcp,443,https
spotify.com,104.199.64.136,tcp,80,http
spotify.com,104.199.64.136,tcp,443,http
spotify.com,104.199.64.136,tcp,443,https
spotify.com,104.199.240.211,tcp,80,http
spotify.com,104.199.240.211,tcp,443,http
spotify.com,104.199.240.211,tcp,443,https
spotify.net,35.227.201.204,tcp,25,smtp
spotify.net,35.227.201.204,tcp,80,http
spotify.net,35.227.201.204,tcp,110,pop3
spotify.net,35.227.201.204,tcp,143,imap
spotify.net,35.227.201.204,tcp,443,https
spotify.net,35.227.201.204,tcp,8080,http
spotifyforbrands.com,130.211.46.31,tcp,25,smtp
spotifyforbrands.com,130.211.46.31,tcp,80,http
spotifyforbrands.com,130.211.46.31,tcp,110,pop3
spotifyforbrands.com,130.211.46.31,tcp,143,imap
spotifyforbrands.com,130.211.46.31,tcp,443,https
spotifyforbrands.com,130.211.46.31,tcp,8080,http
www.loudr.com,216.58.207.243,tcp,80,http
www.loudr.com,216.58.207.243,tcp,443,https
www.loudr.fm,216.58.207.243,tcp,80,http
www.loudr.fm,216.58.207.243,tcp,443,https
www.soundtrap.com,104.199.64.106,tcp,80,http
www.soundtrap.com,104.199.64.106,tcp,443,http
www.soundtrap.com,104.199.64.106,tcp,443,https
www.spotify.com,104.199.64.136,tcp,80,http
www.spotify.com,104.199.64.136,tcp,443,http
www.spotify.com,104.199.64.136,tcp,443,https
www.spotifyforbrands.com,130.211.46.31,tcp,25,smtp
www.spotifyforbrands.com,130.211.46.31,tcp,80,http
www.spotifyforbrands.com,130.211.46.31,tcp,110,pop3
www.spotifyforbrands.com,130.211.46.31,tcp,143,imap
www.spotifyforbrands.com,130.211.46.31,tcp,443,https
www.spotifyforbrands.com,130.211.46.31,tcp,8080,http
