Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/C=US/ST=Washington/L=Seattle/O=Starbucks Coffee Company/OU=IT/CN=starbucks.com,/C=US/O=DigiCert Inc/CN=DigiCert ECC Secure Server CA,Jun 27 00:00:00 2018 GMT,Oct 26 12:00:00 2019 GMT,24
1,1,/C=US/O=DigiCert Inc/CN=DigiCert ECC Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
2,0,"/jurisdictionC=JP/serialNumber=0110-01-031943/businessCategory=Private Organization/C=JP/ST=Tokyo/L=Shinagawa-ku/O=Starbucks Coffee Japan, Ltd./OU=Information Technology Division/CN=gift.starbucks.co.jp","/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2",Feb 18 06:35:27 2019 GMT,Mar  9 14:59:00 2020 GMT,1
2,1,"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2","/O=Cybertrust, Inc/CN=Cybertrust Global Root",Jul 13 12:19:28 2017 GMT,Dec 14 12:00:00 2021 GMT,0
2,2,"/O=Cybertrust, Inc/CN=Cybertrust Global Root",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Dec  3 19:40:23 2014 GMT,Dec  3 19:39:16 2024 GMT,0
3,0,"/jurisdictionC=JP/serialNumber=0110-01-031943/businessCategory=Private Organization/C=JP/ST=Tokyo/L=Shinagawa-ku/O=Starbucks Coffee Japan, Ltd./OU=Starbucks Technology Division/CN=www.starbucks.co.jp","/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2",Feb 18 06:36:53 2019 GMT,Mar  9 14:59:00 2020 GMT,1
3,1,"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2","/O=Cybertrust, Inc/CN=Cybertrust Global Root",Feb 26 08:00:00 2014 GMT,Dec 10 08:00:00 2019 GMT,0
3,2,"/O=Cybertrust, Inc/CN=Cybertrust Global Root",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Dec  3 19:40:23 2014 GMT,Dec  3 19:39:16 2024 GMT,0
4,0,"/jurisdictionC=JP/serialNumber=0110-01-031943/businessCategory=Private Organization/C=JP/ST=Tokyo/L=Shinagawa-ku/O=Starbucks Coffee Japan, Ltd./OU=Starbucks Technology Division/CN=login.starbucks.co.jp","/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2",Feb 18 06:36:25 2019 GMT,Mar  9 14:59:00 2021 GMT,1
4,1,"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2","/O=Cybertrust, Inc/CN=Cybertrust Global Root",Jul 13 12:19:28 2017 GMT,Dec 14 12:00:00 2021 GMT,0
4,2,"/O=Cybertrust, Inc/CN=Cybertrust Global Root",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Dec  3 19:40:23 2014 GMT,Dec  3 19:39:16 2024 GMT,0
5,0,"/jurisdictionC=JP/serialNumber=0110-01-031943/businessCategory=Private Organization/C=JP/ST=Tokyo/L=Shinagawa-ku/O=Starbucks Coffee Japan, Ltd./OU=Starbucks Technology Division/CN=cart.starbucks.co.jp","/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2",Feb 18 06:38:17 2019 GMT,Mar  9 14:59:00 2020 GMT,1
5,1,"/C=JP/O=Cybertrust Japan Co., Ltd./CN=Cybertrust Japan EV CA G2","/O=Cybertrust, Inc/CN=Cybertrust Global Root",Feb 26 08:00:00 2014 GMT,Dec 10 08:00:00 2019 GMT,0
5,2,"/O=Cybertrust, Inc/CN=Cybertrust Global Root",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Dec  3 19:40:23 2014 GMT,Dec  3 19:39:16 2024 GMT,0
6,0,/C=US/postalCode=98134/ST=Washington/L=Seattle/street=2401 Utah Avenue South/O=Starbucks Coffee Company/OU=IT/OU=Unified Communications/CN=www.starbucksreserve.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,Jan  2 00:00:00 2019 GMT,Jan  2 23:59:59 2020 GMT,7
6,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,Feb 12 00:00:00 2014 GMT,Feb 11 23:59:59 2029 GMT,0
6,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
7,0,/C=US/postalCode=98134/ST=Washington/L=Seattle/street=2401 Utah Avenue South/O=Starbucks Coffee Company/OU=IT/OU=Unified Communications/CN=www.teavana.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,Jul  6 00:00:00 2018 GMT,Jul  6 23:59:59 2019 GMT,1
7,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,Feb 12 00:00:00 2014 GMT,Feb 11 23:59:59 2029 GMT,0
8,0,/C=US/postalCode=98134/ST=Washington/L=Seattle/street=2401 Utah Avenue South/O=Starbucks Coffee Company/OU=IT/OU=Unified Communications/CN=www.starbucks.com.cn,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,Jun 26 00:00:00 2018 GMT,Jun 26 23:59:59 2019 GMT,13
8,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,Feb 12 00:00:00 2014 GMT,Feb 11 23:59:59 2029 GMT,0
8,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
8,3,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
9,0,"/C=KR/postalCode=04530/ST=Seoul/L=Jung-gu/street=87-10, Sogong-dong/O=Starbucks Coffee Korea Co.,Ltd./OU=Development Team/OU=Hosted by Korea Information Certificate Authority, Inc./OU=PremiumSSL Wildcard/CN=*.istarbucks.co.kr",/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Organization Validation Secure Server CA,Mar 18 00:00:00 2019 GMT,Mar 21 23:59:59 2020 GMT,2
