Host,Address,Transport,Port,Service,Component,Version
app.starbucks.com,92.123.204.32,tcp,80,http,akamai/ghost,
app.starbucks.com,92.123.204.32,tcp,443,https,nginx/nginx,
cart.starbucks.co.jp,13.230.238.33,tcp,443,http,amazon/awselb,2.0
cart.starbucks.co.jp,52.192.221.179,tcp,443,http,amazon/awselb,2.0
ec.starbucks.com.cn,120.136.132.70,tcp,443,https,nginx/nginx,1.12.2
ec.starbucks.com.cn,120.136.132.70,tcp,443,https,php/php,5.4.16
gift.starbucks.co.jp,13.33.23.10,tcp,80,http,amazon/s3,
gift.starbucks.co.jp,13.33.23.10,tcp,443,http,amazon/cloudfront,
gift.starbucks.co.jp,13.33.23.10,tcp,443,https,amazon/s3,
gift.starbucks.co.jp,13.33.23.81,tcp,80,http,amazon/s3,
gift.starbucks.co.jp,13.33.23.81,tcp,443,http,amazon/cloudfront,
gift.starbucks.co.jp,13.33.23.81,tcp,443,https,amazon/s3,
gift.starbucks.co.jp,13.33.23.191,tcp,80,http,amazon/s3,
gift.starbucks.co.jp,13.33.23.191,tcp,443,http,amazon/cloudfront,
gift.starbucks.co.jp,13.33.23.191,tcp,443,https,amazon/s3,
gift.starbucks.co.jp,13.33.23.224,tcp,80,http,amazon/s3,
gift.starbucks.co.jp,13.33.23.224,tcp,443,http,amazon/cloudfront,
gift.starbucks.co.jp,13.33.23.224,tcp,443,https,amazon/s3,
login.starbucks.co.jp,18.182.176.215,tcp,443,http,amazon/awselb,2.0
login.starbucks.co.jp,54.65.224.196,tcp,443,http,amazon/awselb,2.0
preview.starbucks.com,92.123.204.32,tcp,80,http,akamai/ghost,
preview.starbucks.com,92.123.204.32,tcp,443,https,akamai/ghost,
www.starbucks.ca,92.123.204.32,tcp,80,http,akamai/ghost,
www.starbucks.co.jp,13.115.139.40,tcp,80,http,apache/apache,
www.starbucks.co.jp,13.115.139.40,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,13.115.139.40,tcp,443,https,apache/apache,
www.starbucks.co.jp,52.198.153.82,tcp,80,http,apache/apache,
www.starbucks.co.jp,52.198.153.82,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,52.198.153.82,tcp,443,https,apache/apache,
www.starbucks.co.jp,52.199.167.211,tcp,80,http,apache/apache,
www.starbucks.co.jp,52.199.167.211,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,52.199.167.211,tcp,443,https,apache/apache,
www.starbucks.co.jp,54.64.251.205,tcp,80,http,apache/apache,
www.starbucks.co.jp,54.64.251.205,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,54.64.251.205,tcp,443,https,apache/apache,
www.starbucks.co.jp,54.65.125.159,tcp,80,http,apache/apache,
www.starbucks.co.jp,54.65.125.159,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,54.65.125.159,tcp,443,https,apache/apache,
www.starbucks.co.jp,54.65.233.111,tcp,80,http,apache/apache,
www.starbucks.co.jp,54.65.233.111,tcp,443,http,amazon/awselb,2.0
www.starbucks.co.jp,54.65.233.111,tcp,443,https,apache/apache,
www.starbucks.co.uk,92.123.204.32,tcp,80,http,akamai/ghost,
www.starbucks.com,92.123.204.32,tcp,80,http,akamai/ghost,
www.starbucks.com.br,92.123.204.32,tcp,80,http,akamai/ghost,
www.starbucks.de,92.123.204.32,tcp,80,http,akamai/ghost,
www.starbucks.fr,92.123.204.32,tcp,80,http,akamai/ghost,
www.teavana.com,13.33.23.15,tcp,80,http,amazon/cloudfront,
www.teavana.com,13.33.23.15,tcp,443,http,amazon/cloudfront,
www.teavana.com,13.33.23.15,tcp,443,https,apache/apache,2.4.6
www.teavana.com,13.33.23.15,tcp,443,https,openssl/openssl,1.0.2k-fips
www.teavana.com,13.33.23.15,tcp,443,https,php/php,7.1.24
www.teavana.com,13.33.23.31,tcp,80,http,amazon/cloudfront,
www.teavana.com,13.33.23.31,tcp,443,http,amazon/cloudfront,
www.teavana.com,13.33.23.31,tcp,443,https,apache/apache,2.4.6
www.teavana.com,13.33.23.31,tcp,443,https,openssl/openssl,1.0.2k-fips
www.teavana.com,13.33.23.31,tcp,443,https,php/php,7.1.28
www.teavana.com,13.33.23.142,tcp,80,http,amazon/cloudfront,
www.teavana.com,13.33.23.142,tcp,443,http,amazon/cloudfront,
www.teavana.com,13.33.23.142,tcp,443,https,apache/apache,2.4.6
www.teavana.com,13.33.23.142,tcp,443,https,openssl/openssl,1.0.2k-fips
www.teavana.com,13.33.23.142,tcp,443,https,php/php,7.1.28
www.teavana.com,13.33.23.179,tcp,80,http,amazon/cloudfront,
www.teavana.com,13.33.23.179,tcp,443,http,amazon/cloudfront,
www.teavana.com,13.33.23.179,tcp,443,https,apache/apache,2.4.6
www.teavana.com,13.33.23.179,tcp,443,https,openssl/openssl,1.0.2k-fips
www.teavana.com,13.33.23.179,tcp,443,https,php/php,7.1.24
