Chain,Depth,Type,Name
1,0,DNS,starbucks.com
1,0,DNS,app.starbucks.ie
1,0,DNS,app.starbucks.co.uk
1,0,DNS,starbucks.co.uk
1,0,DNS,www.starbucks.com
1,0,DNS,app.starbucks.ca
1,0,DNS,preview.starbucks.com
1,0,DNS,app.starbucks.fr
1,0,DNS,starbucks.ca
1,0,DNS,starbucks.fr
1,0,DNS,starbucks.com.br
1,0,DNS,www.starbucks.ie
1,0,DNS,www.starbucks.com.br
1,0,DNS,www.starbucks.co.uk
1,0,DNS,app.starbucks.com
1,0,DNS,www.starbucks.fr
1,0,DNS,fr.app.starbucks.ca
1,0,DNS,www.starbucks.de
1,0,DNS,www.starbucks.ca
1,0,DNS,fr.starbucks.ca
1,0,DNS,starbucks.de
1,0,DNS,starbucks.ie
1,0,DNS,app.starbucks.de
1,0,DNS,app.starbucks.com.br
2,0,DNS,gift.starbucks.co.jp
3,0,DNS,www.starbucks.co.jp
4,0,DNS,www.starbucksreserve.com
4,0,DNS,ar-milan.starbucksreserve.com
4,0,DNS,ar-reserve.starbucksreserve.com
4,0,DNS,preview.sirencatalog.starbucksreserve.com
4,0,DNS,preview.starbucksreserve.com
4,0,DNS,sirencatalog.starbucksreserve.com
4,0,DNS,starbucksreserve.com
5,0,DNS,cart.starbucks.co.jp
6,0,DNS,www.teavana.com
7,0,DNS,login.starbucks.co.jp
8,0,DNS,www.starbucks.com.sg
9,0,DNS,www.starbucks.com.cn
9,0,DNS,achievement.starbucks.com.cn
9,0,DNS,api.starbucks.com.cn
9,0,DNS,auth.starbucks.com.cn
9,0,DNS,callcenter.starbucks.com.cn
9,0,DNS,cards.starbucks.com.cn
9,0,DNS,coupons.starbucks.com.cn
9,0,DNS,emsr.starbucks.com.cn
9,0,DNS,giftcard.starbucks.com.cn
9,0,DNS,old.giftcard.starbucks.com.cn
9,0,DNS,old.rewards.starbucks.com.cn
9,0,DNS,profile.starbucks.com.cn
9,0,DNS,rewards.starbucks.com.cn
10,0,DNS,ec.starbucks.com.cn
