Host,Address,Transport,Port,Service
app.starbucks.com,104.66.101.81,tcp,80,http
app.starbucks.com,104.66.101.81,tcp,443,https
card.starbucks.com.sg,125.252.110.205,tcp,80,http
cart.starbucks.co.jp,13.113.221.99,tcp,80,http
cart.starbucks.co.jp,13.113.221.99,tcp,443,http
cart.starbucks.co.jp,13.113.221.99,tcp,443,https
cart.starbucks.co.jp,13.230.238.33,tcp,80,http
cart.starbucks.co.jp,13.230.238.33,tcp,443,http
cart.starbucks.co.jp,13.230.238.33,tcp,443,https
ec.starbucks.com.cn,120.136.132.70,tcp,443,https
gift.starbucks.co.jp,143.204.181.12,tcp,80,http
gift.starbucks.co.jp,143.204.181.12,tcp,443,http
gift.starbucks.co.jp,143.204.181.12,tcp,443,https
gift.starbucks.co.jp,143.204.181.31,tcp,80,http
gift.starbucks.co.jp,143.204.181.31,tcp,443,http
gift.starbucks.co.jp,143.204.181.31,tcp,443,https
gift.starbucks.co.jp,143.204.181.105,tcp,80,http
gift.starbucks.co.jp,143.204.181.105,tcp,443,http
gift.starbucks.co.jp,143.204.181.105,tcp,443,https
gift.starbucks.co.jp,143.204.181.119,tcp,80,http
gift.starbucks.co.jp,143.204.181.119,tcp,443,http
gift.starbucks.co.jp,143.204.181.119,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:4a00:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:4a00:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:4a00:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:6e00:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:6e00:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:6e00:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:8c00:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:8c00:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:8c00:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:1200:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:1200:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:1200:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:4400:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:4400:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:4400:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:8600:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:8600:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:8600:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:a00:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:a00:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:a00:8:8964:22c0:93a1,tcp,443,https
gift.starbucks.co.jp,2600:9000:2048:d800:8:8964:22c0:93a1,tcp,80,http
gift.starbucks.co.jp,2600:9000:2048:d800:8:8964:22c0:93a1,tcp,443,http
gift.starbucks.co.jp,2600:9000:2048:d800:8:8964:22c0:93a1,tcp,443,https
login.starbucks.co.jp,13.114.49.31,tcp,80,http
login.starbucks.co.jp,13.114.49.31,tcp,443,http
login.starbucks.co.jp,13.114.49.31,tcp,443,https
login.starbucks.co.jp,54.65.224.196,tcp,80,http
login.starbucks.co.jp,54.65.224.196,tcp,443,http
login.starbucks.co.jp,54.65.224.196,tcp,443,https
preview.starbucks.com,104.66.101.81,tcp,80,http
preview.starbucks.com,104.66.101.81,tcp,443,https
www.istarbucks.co.kr,182.173.169.11,tcp,80,http
www.istarbucks.co.kr,182.173.169.11,tcp,443,https
www.starbucks.ca,23.222.64.23,tcp,80,http
www.starbucks.ca,23.222.64.23,tcp,443,https
www.starbucks.co.jp,13.115.139.40,tcp,80,http
www.starbucks.co.jp,13.115.139.40,tcp,443,http
www.starbucks.co.jp,13.115.139.40,tcp,443,https
www.starbucks.co.jp,52.198.153.82,tcp,80,http
www.starbucks.co.jp,52.198.153.82,tcp,443,http
www.starbucks.co.jp,52.198.153.82,tcp,443,https
www.starbucks.co.jp,54.64.251.205,tcp,80,http
www.starbucks.co.jp,54.64.251.205,tcp,443,http
www.starbucks.co.jp,54.64.251.205,tcp,443,https
www.starbucks.co.jp,54.65.125.159,tcp,80,http
www.starbucks.co.jp,54.65.125.159,tcp,443,http
www.starbucks.co.jp,54.65.125.159,tcp,443,https
www.starbucks.co.uk,23.222.64.23,tcp,80,http
www.starbucks.co.uk,23.222.64.23,tcp,443,https
www.starbucks.com,104.66.101.81,tcp,80,http
www.starbucks.com,104.66.101.81,tcp,443,https
www.starbucks.com.br,104.66.101.81,tcp,80,http
www.starbucks.com.br,104.66.101.81,tcp,443,https
www.starbucks.com.cn,180.153.48.188,tcp,80,http
www.starbucks.com.cn,180.153.48.188,tcp,443,https
www.starbucks.com.sg,13.250.68.173,tcp,80,http
www.starbucks.com.sg,13.250.68.173,tcp,443,https
www.starbucks.com.sg,52.74.168.68,tcp,80,http
www.starbucks.com.sg,52.74.168.68,tcp,443,https
www.starbucks.de,104.66.101.81,tcp,80,http
www.starbucks.de,104.66.101.81,tcp,443,https
www.starbucks.fr,23.222.64.23,tcp,80,http
www.starbucks.fr,23.222.64.23,tcp,443,https
www.starbucksreserve.com,213.199.130.195,tcp,80,http
