Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/CN=*.trustpilot.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Apr 30 00:00:00 2019 GMT,May 30 12:00:00 2020 GMT,2
1,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
1,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
1,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
2,0,/C=DK/L=Copenhagen/O=Trustpilot A/S/CN=api.trustpilot.com,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Sep  7 00:00:00 2017 GMT,Oct 22 12:00:00 2019 GMT,2
2,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
3,0,/CN=*.trustpilot.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Apr 30 00:00:00 2019 GMT,May 30 12:00:00 2020 GMT,2
3,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
3,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
3,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
4,0,/CN=*.business.trustpilot.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Jun 11 00:00:00 2018 GMT,Jul 11 12:00:00 2019 GMT,2
4,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
4,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
4,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
