Host,Address,Transport,Port,Service,Component,Version
business.trustpilot.com,13.224.29.13,tcp,80,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.13,tcp,443,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.16,tcp,80,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.16,tcp,443,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.50,tcp,80,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.50,tcp,443,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.121,tcp,80,http,amazon/cloudfront,
business.trustpilot.com,13.224.29.121,tcp,443,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.28,tcp,80,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.28,tcp,443,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.134,tcp,80,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.134,tcp,443,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.150,tcp,80,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.150,tcp,443,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.191,tcp,80,http,amazon/cloudfront,
emailsignature.trustpilot.com,13.33.23.191,tcp,443,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.108,tcp,80,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.108,tcp,443,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.125,tcp,80,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.125,tcp,443,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.157,tcp,80,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.157,tcp,443,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.228,tcp,80,http,amazon/cloudfront,
share.trustpilot.com,13.33.23.228,tcp,443,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.16,tcp,80,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.16,tcp,443,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.16,tcp,443,https,amazon/s3,
signup.business.trustpilot.com,13.33.23.56,tcp,80,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.56,tcp,443,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.56,tcp,443,https,amazon/s3,
signup.business.trustpilot.com,13.33.23.231,tcp,80,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.231,tcp,443,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.231,tcp,443,https,amazon/s3,
signup.business.trustpilot.com,13.33.23.243,tcp,80,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.243,tcp,443,http,amazon/cloudfront,
signup.business.trustpilot.com,13.33.23.243,tcp,443,https,amazon/s3,
widget.trustpilot.com,13.33.23.23,tcp,80,http,amazon/s3,
widget.trustpilot.com,13.33.23.23,tcp,443,http,amazon/cloudfront,
widget.trustpilot.com,13.33.23.23,tcp,443,https,amazon/s3,
widget.trustpilot.com,13.33.23.84,tcp,80,http,amazon/s3,
widget.trustpilot.com,13.33.23.84,tcp,443,http,amazon/cloudfront,
widget.trustpilot.com,13.33.23.84,tcp,443,https,amazon/s3,
widget.trustpilot.com,13.33.23.134,tcp,80,http,amazon/s3,
widget.trustpilot.com,13.33.23.134,tcp,443,http,amazon/cloudfront,
widget.trustpilot.com,13.33.23.134,tcp,443,https,amazon/s3,
widget.trustpilot.com,13.33.23.201,tcp,80,http,amazon/s3,
widget.trustpilot.com,13.33.23.201,tcp,443,http,amazon/cloudfront,
widget.trustpilot.com,13.33.23.201,tcp,443,https,amazon/s3,
www.trustpilot.com,13.33.23.5,tcp,80,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.5,tcp,443,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.28,tcp,80,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.28,tcp,443,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.52,tcp,80,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.52,tcp,443,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.73,tcp,80,http,amazon/cloudfront,
www.trustpilot.com,13.33.23.73,tcp,443,http,amazon/cloudfront,
