Service ID,Name,Address,Transport,Port,Service,Certificate Chain
1,www.trustpilot.com,13.33.47.22,tcp,80,http,
2,www.trustpilot.com,13.33.47.22,tcp,443,http,
3,www.trustpilot.com,13.33.47.22,tcp,443,https,1
4,www.trustpilot.com,13.33.47.142,tcp,80,http,
5,www.trustpilot.com,13.33.47.142,tcp,443,http,
6,www.trustpilot.com,13.33.47.142,tcp,443,https,1
7,www.trustpilot.com,13.33.47.158,tcp,80,http,
8,www.trustpilot.com,13.33.47.158,tcp,443,http,
9,www.trustpilot.com,13.33.47.158,tcp,443,https,1
10,www.trustpilot.com,13.33.47.198,tcp,80,http,
11,www.trustpilot.com,13.33.47.198,tcp,443,http,
12,www.trustpilot.com,13.33.47.198,tcp,443,https,1
13,widget.trustpilot.com,13.33.47.144,tcp,80,http,
14,widget.trustpilot.com,13.33.47.144,tcp,443,http,
15,widget.trustpilot.com,13.33.47.144,tcp,443,https,1
16,widget.trustpilot.com,13.33.47.204,tcp,80,http,
17,widget.trustpilot.com,13.33.47.204,tcp,443,http,
18,widget.trustpilot.com,13.33.47.204,tcp,443,https,1
19,widget.trustpilot.com,13.33.47.222,tcp,80,http,
20,widget.trustpilot.com,13.33.47.222,tcp,443,http,
21,widget.trustpilot.com,13.33.47.222,tcp,443,https,1
22,widget.trustpilot.com,13.33.47.226,tcp,80,http,
23,widget.trustpilot.com,13.33.47.226,tcp,443,http,
24,widget.trustpilot.com,13.33.47.226,tcp,443,https,1
25,signup.business.trustpilot.com,13.33.47.12,tcp,80,http,
26,signup.business.trustpilot.com,13.33.47.12,tcp,443,http,
27,signup.business.trustpilot.com,13.33.47.12,tcp,443,https,4
28,signup.business.trustpilot.com,13.33.47.68,tcp,80,http,
29,signup.business.trustpilot.com,13.33.47.68,tcp,443,http,
30,signup.business.trustpilot.com,13.33.47.68,tcp,443,https,4
31,signup.business.trustpilot.com,13.33.47.195,tcp,80,http,
32,signup.business.trustpilot.com,13.33.47.195,tcp,443,http,
33,signup.business.trustpilot.com,13.33.47.195,tcp,443,https,4
34,signup.business.trustpilot.com,13.33.47.203,tcp,80,http,
35,signup.business.trustpilot.com,13.33.47.203,tcp,443,http,
36,signup.business.trustpilot.com,13.33.47.203,tcp,443,https,4
37,share.trustpilot.com,13.33.47.5,tcp,80,http,
38,share.trustpilot.com,13.33.47.5,tcp,443,http,
39,share.trustpilot.com,13.33.47.5,tcp,443,https,1
40,share.trustpilot.com,13.33.47.81,tcp,80,http,
41,share.trustpilot.com,13.33.47.81,tcp,443,http,
42,share.trustpilot.com,13.33.47.81,tcp,443,https,1
43,share.trustpilot.com,13.33.47.107,tcp,80,http,
44,share.trustpilot.com,13.33.47.107,tcp,443,http,
45,share.trustpilot.com,13.33.47.107,tcp,443,https,1
46,share.trustpilot.com,13.33.47.208,tcp,80,http,
47,share.trustpilot.com,13.33.47.208,tcp,443,http,
48,share.trustpilot.com,13.33.47.208,tcp,443,https,1
49,invitations-api.trustpilot.com,34.241.65.56,tcp,443,https,2
50,invitations-api.trustpilot.com,52.208.145.226,tcp,443,https,2
51,invitations-api.trustpilot.com,54.77.141.172,tcp,443,https,2
52,emailsignature.trustpilot.com,13.33.47.77,tcp,80,http,
53,emailsignature.trustpilot.com,13.33.47.77,tcp,443,http,
54,emailsignature.trustpilot.com,13.33.47.77,tcp,443,https,1
55,emailsignature.trustpilot.com,13.33.47.119,tcp,80,http,
56,emailsignature.trustpilot.com,13.33.47.119,tcp,443,http,
57,emailsignature.trustpilot.com,13.33.47.119,tcp,443,https,1
58,emailsignature.trustpilot.com,13.33.47.170,tcp,80,http,
59,emailsignature.trustpilot.com,13.33.47.170,tcp,443,http,
60,emailsignature.trustpilot.com,13.33.47.170,tcp,443,https,1
61,emailsignature.trustpilot.com,13.33.47.208,tcp,80,http,
62,emailsignature.trustpilot.com,13.33.47.208,tcp,443,http,
63,emailsignature.trustpilot.com,13.33.47.208,tcp,443,https,1
64,consumer-auth.trustpilot.com,34.250.48.63,tcp,443,https,3
65,business.trustpilot.com,13.224.29.13,tcp,80,http,
66,business.trustpilot.com,13.224.29.13,tcp,443,http,
67,business.trustpilot.com,13.224.29.13,tcp,443,https,4
68,business.trustpilot.com,13.224.29.16,tcp,80,http,
69,business.trustpilot.com,13.224.29.16,tcp,443,http,
70,business.trustpilot.com,13.224.29.16,tcp,443,https,4
71,business.trustpilot.com,13.224.29.50,tcp,80,http,
72,business.trustpilot.com,13.224.29.50,tcp,443,http,
73,business.trustpilot.com,13.224.29.50,tcp,443,https,4
74,business.trustpilot.com,13.224.29.121,tcp,80,http,
75,business.trustpilot.com,13.224.29.121,tcp,443,http,
76,business.trustpilot.com,13.224.29.121,tcp,443,https,4
77,b2b.trustpilot.com,52.17.253.220,tcp,80,http,
78,b2b.trustpilot.com,52.17.253.220,tcp,443,https,3
79,b2b.trustpilot.com,52.211.209.131,tcp,80,http,
80,b2b.trustpilot.com,52.211.209.131,tcp,443,https,3
81,authenticate.trustpilot.com,52.49.103.2,tcp,443,https,3
82,authenticate.trustpilot.com,63.32.39.83,tcp,443,https,3
83,api.trustpilot.com,34.241.233.51,tcp,80,http,
84,api.trustpilot.com,34.241.233.51,tcp,443,https,2
85,api.trustpilot.com,34.249.117.199,tcp,80,http,
86,api.trustpilot.com,34.249.117.199,tcp,443,https,2
87,api.trustpilot.com,52.213.140.102,tcp,80,http,
88,api.trustpilot.com,52.213.140.102,tcp,443,https,2
