Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/CN=*.fr.cloud.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,May  3 22:35:15 2019 GMT,Aug  1 22:35:15 2019 GMT,1
1,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
2,0,/CN=www.login.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Mar 14 10:31:08 2019 GMT,Jun 12 10:31:08 2019 GMT,2
2,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
3,0,/C=US/ST=District of Columbia/L=Washington/O=General Services Administration (GSA)/OU=Technology Transformation Service/CN=data.gov,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Apr  8 00:00:00 2019 GMT,Mar 30 12:00:00 2020 GMT,82
3,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
4,0,/CN=*.app.cloud.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,May  3 22:35:15 2019 GMT,Aug  1 22:35:15 2019 GMT,1
4,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
5,0,/CN=api.data.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Mar 22 19:44:50 2019 GMT,Jun 20 19:44:50 2019 GMT,1
5,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
6,0,/CN=cloud.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Apr 14 14:31:19 2019 GMT,Jul 13 14:31:19 2019 GMT,2
6,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
7,0,/CN=vote.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Apr 25 20:31:10 2019 GMT,Jul 24 20:31:10 2019 GMT,1
7,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
8,0,/CN=18f.gsa.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Apr 11 17:31:05 2019 GMT,Jul 10 17:31:05 2019 GMT,1
8,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
9,0,/CN=federalist-docs.18f.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Apr 12 19:31:13 2019 GMT,Jul 11 19:31:13 2019 GMT,1
9,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
10,0,/CN=federalist.18f.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,May  3 23:31:07 2019 GMT,Aug  1 23:31:07 2019 GMT,1
10,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
11,0,/CN=analytics.usa.gov,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Apr 13 10:31:07 2019 GMT,Jul 12 10:31:07 2019 GMT,1
11,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
