Host,Address,Transport,Port,Service,Component,Version
18f.gsa.gov,52.222.157.43,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.43,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.55,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.55,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.177,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.177,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.198,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,52.222.157.198,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:4e00:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:4e00:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:8c00:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:8c00:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:600:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:600:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:2000:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:2000:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:3200:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:3200:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:9000:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:9000:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:ae00:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:ae00:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:ce00:10:28a:1800:93a1,tcp,80,http,amazon/cloudfront,
18f.gsa.gov,2600:9000:2047:ce00:10:28a:1800:93a1,tcp,443,http,amazon/cloudfront,
account.fr.cloud.gov,52.61.55.156,tcp,443,http,amazon/awselb,2.0
account.fr.cloud.gov,160.1.106.112,tcp,443,http,amazon/awselb,2.0
account.fr.cloud.gov,2600:1f12:18a:7d00:d6eb:e5b0:33f6:ea79,tcp,443,http,amazon/awselb,2.0
account.fr.cloud.gov,2600:1f12:18a:7d01:5dfa:76c7:1a0d:71ba,tcp,443,http,amazon/awselb,2.0
admin-catalog-bsp.data.gov,34.193.244.109,tcp,443,https,apache/apache,
analytics.usa.gov,52.222.157.24,tcp,80,http,amazon/cloudfront,
analytics.usa.gov,52.222.157.24,tcp,443,http,amazon/cloudfront,
