Component ID,Service ID
1,1
1,2
1,4
1,5
1,7
1,8
1,10
1,11
1,13
1,14
1,16
1,17
1,19
1,20
1,22
1,23
1,25
1,26
1,28
1,29
1,31
1,32
1,34
1,35
1,55
1,56
1,58
1,59
1,61
1,62
1,64
1,65
1,81
1,82
1,84
1,85
1,87
1,88
1,90
1,91
1,99
1,100
1,102
1,103
1,105
1,106
1,108
1,109
1,125
1,126
1,128
1,129
1,131
1,132
1,134
1,135
1,137
1,138
1,140
1,141
1,143
1,144
1,146
1,147
1,161
1,162
1,164
1,165
1,167
1,168
1,170
1,171
1,181
1,182
1,184
1,185
1,187
1,188
1,190
1,191
2,38
2,74
2,139
2,142
2,145
2,148
2,174
3,46
3,49
3,51
3,53
3,68
3,71
3,75
3,77
3,94
3,97
3,112
3,115
3,120
3,123
3,150
3,153
3,176
3,179
4,44
4,80
