Host,Address,Transport,Port,Service
18f.gsa.gov,13.33.23.25,tcp,80,http
18f.gsa.gov,13.33.23.25,tcp,443,http
18f.gsa.gov,13.33.23.25,tcp,443,https
18f.gsa.gov,13.33.23.133,tcp,80,http
18f.gsa.gov,13.33.23.133,tcp,443,http
18f.gsa.gov,13.33.23.133,tcp,443,https
18f.gsa.gov,13.33.23.179,tcp,80,http
18f.gsa.gov,13.33.23.179,tcp,443,http
18f.gsa.gov,13.33.23.179,tcp,443,https
18f.gsa.gov,13.33.23.208,tcp,80,http
18f.gsa.gov,13.33.23.208,tcp,443,http
18f.gsa.gov,13.33.23.208,tcp,443,https
account.fr.cloud.gov,96.127.59.2,tcp,80,http
account.fr.cloud.gov,96.127.59.2,tcp,443,http
account.fr.cloud.gov,96.127.59.2,tcp,443,https
account.fr.cloud.gov,160.1.59.86,tcp,80,http
account.fr.cloud.gov,160.1.59.86,tcp,443,http
account.fr.cloud.gov,160.1.59.86,tcp,443,https
admin-catalog-bsp.data.gov,34.193.244.109,tcp,80,http
admin-catalog-bsp.data.gov,34.193.244.109,tcp,443,https
analytics.usa.gov,13.33.23.119,tcp,80,http
analytics.usa.gov,13.33.23.119,tcp,443,http
analytics.usa.gov,13.33.23.119,tcp,443,https
analytics.usa.gov,13.33.23.161,tcp,80,http
analytics.usa.gov,13.33.23.161,tcp,443,http
analytics.usa.gov,13.33.23.161,tcp,443,https
analytics.usa.gov,13.33.23.184,tcp,80,http
analytics.usa.gov,13.33.23.184,tcp,443,http
analytics.usa.gov,13.33.23.184,tcp,443,https
analytics.usa.gov,13.33.23.246,tcp,80,http
analytics.usa.gov,13.33.23.246,tcp,443,http
analytics.usa.gov,13.33.23.246,tcp,443,https
api.data.gov,34.226.175.16,tcp,80,http
api.data.gov,34.226.175.16,tcp,443,http
api.data.gov,34.226.175.16,tcp,443,https
api.data.gov,52.2.118.82,tcp,80,http
api.data.gov,52.2.118.82,tcp,443,http
api.data.gov,52.2.118.82,tcp,443,https
api.fr.cloud.gov,96.127.59.2,tcp,80,http
api.fr.cloud.gov,96.127.59.2,tcp,443,http
api.fr.cloud.gov,96.127.59.2,tcp,443,https
api.fr.cloud.gov,160.1.59.86,tcp,80,http
api.fr.cloud.gov,160.1.59.86,tcp,443,http
api.fr.cloud.gov,160.1.59.86,tcp,443,https
cloud.gov,13.33.23.43,tcp,80,http
cloud.gov,13.33.23.43,tcp,443,http
cloud.gov,13.33.23.43,tcp,443,https
cloud.gov,13.33.23.84,tcp,80,http
cloud.gov,13.33.23.84,tcp,443,http
cloud.gov,13.33.23.84,tcp,443,https
cloud.gov,13.33.23.107,tcp,80,http
cloud.gov,13.33.23.107,tcp,443,http
cloud.gov,13.33.23.107,tcp,443,https
cloud.gov,13.33.23.238,tcp,80,http
cloud.gov,13.33.23.238,tcp,443,http
cloud.gov,13.33.23.238,tcp,443,https
dashboard.fr.cloud.gov,96.127.59.2,tcp,80,http
dashboard.fr.cloud.gov,96.127.59.2,tcp,443,http
