Host,Address,Transport,Port,Service,Component,Version
ubnt.com,52.26.212.30,tcp,80,http,nginx/nginx,
ubnt.com,52.26.212.30,tcp,443,http,amazon/awselb,2.0
ubnt.com,52.26.212.30,tcp,443,https,nginx/nginx,
ubnt.com,52.42.33.1,tcp,80,http,nginx/nginx,
ubnt.com,52.42.33.1,tcp,443,http,amazon/awselb,2.0
ubnt.com,52.42.33.1,tcp,443,https,nginx/nginx,
ubnt.com,54.149.239.221,tcp,80,http,nginx/nginx,
ubnt.com,54.149.239.221,tcp,443,http,amazon/awselb,2.0
ubnt.com,54.149.239.221,tcp,443,https,nginx/nginx,
www.ubnt.com,52.26.212.30,tcp,80,http,nginx/nginx,
www.ubnt.com,52.26.212.30,tcp,443,http,amazon/awselb,2.0
www.ubnt.com,52.26.212.30,tcp,443,https,nginx/nginx,
www.ubnt.com,52.42.33.1,tcp,80,http,nginx/nginx,
www.ubnt.com,52.42.33.1,tcp,443,http,amazon/awselb,2.0
www.ubnt.com,52.42.33.1,tcp,443,https,nginx/nginx,
www.ubnt.com,54.149.239.221,tcp,80,http,nginx/nginx,
www.ubnt.com,54.149.239.221,tcp,443,http,amazon/awselb,2.0
www.ubnt.com,54.149.239.221,tcp,443,https,nginx/nginx,
