Host,Address,Transport,Port,Service
ubnt.com,52.26.212.30,tcp,80,http
ubnt.com,52.26.212.30,tcp,443,http
ubnt.com,52.26.212.30,tcp,443,https
ubnt.com,52.42.33.1,tcp,80,http
ubnt.com,52.42.33.1,tcp,443,http
ubnt.com,52.42.33.1,tcp,443,https
ubnt.com,54.149.239.221,tcp,80,http
ubnt.com,54.149.239.221,tcp,443,http
ubnt.com,54.149.239.221,tcp,443,https
www.ubnt.com,52.26.212.30,tcp,80,http
www.ubnt.com,52.26.212.30,tcp,443,http
www.ubnt.com,52.26.212.30,tcp,443,https
www.ubnt.com,52.42.33.1,tcp,80,http
www.ubnt.com,52.42.33.1,tcp,443,http
www.ubnt.com,52.42.33.1,tcp,443,https
www.ubnt.com,54.149.239.221,tcp,80,http
www.ubnt.com,54.149.239.221,tcp,443,http
www.ubnt.com,54.149.239.221,tcp,443,https
