Host,Address,Transport,Port,Service
645892349820.vulnerbug.com,35.221.46.9,tcp,22,ssh
645892349820.vulnerbug.com,35.221.46.9,tcp,80,http
645892349820.vulnerbug.com,35.221.46.9,tcp,443,http
645892349820.vulnerbug.com,35.221.46.9,tcp,443,https
api.breadcrumb.com,35.172.14.4,tcp,80,http
api.breadcrumb.com,35.172.14.4,tcp,443,http
api.breadcrumb.com,35.172.14.4,tcp,443,https
api.breadcrumb.com,35.172.14.4,tcp,8080,http
app.upserve.com,52.203.210.230,tcp,80,http
app.upserve.com,52.203.210.230,tcp,443,http
app.upserve.com,52.203.210.230,tcp,443,https
cards.swipely.com,107.21.17.246,tcp,443,http
cards.swipely.com,107.21.17.246,tcp,443,https
d2evh2mef3r450.cloudfront.net,52.84.214.38,tcp,80,http
d2evh2mef3r450.cloudfront.net,52.84.214.38,tcp,443,http
d2evh2mef3r450.cloudfront.net,52.84.214.38,tcp,443,https
d2evh2mef3r450.cloudfront.net,52.84.214.119,tcp,80,http
d2evh2mef3r450.cloudfront.net,52.84.214.119,tcp,443,http
d2evh2mef3r450.cloudfront.net,52.84.214.119,tcp,443,https
d2evh2mef3r450.cloudfront.net,52.84.214.215,tcp,80,http
d2evh2mef3r450.cloudfront.net,52.84.214.215,tcp,443,http
d2evh2mef3r450.cloudfront.net,52.84.214.215,tcp,443,https
d2evh2mef3r450.cloudfront.net,52.84.214.223,tcp,80,http
d2evh2mef3r450.cloudfront.net,52.84.214.223,tcp,443,http
d2evh2mef3r450.cloudfront.net,52.84.214.223,tcp,443,https
ecs-lb.breadcrumb.com,35.172.14.4,tcp,80,http
ecs-lb.breadcrumb.com,35.172.14.4,tcp,443,http
ecs-lb.breadcrumb.com,35.172.14.4,tcp,443,https
ecs-lb.breadcrumb.com,35.172.14.4,tcp,8080,http
hq.breadcrumb.com,35.172.14.4,tcp,80,http
hq.breadcrumb.com,35.172.14.4,tcp,443,http
hq.breadcrumb.com,35.172.14.4,tcp,443,https
hq.breadcrumb.com,35.172.14.4,tcp,8080,http
mossy.breadcrumb.com,35.172.14.4,tcp,80,http
mossy.breadcrumb.com,35.172.14.4,tcp,443,http
mossy.breadcrumb.com,35.172.14.4,tcp,443,https
mossy.breadcrumb.com,35.172.14.4,tcp,8080,http
orders.upserve.com,52.203.210.230,tcp,80,http
orders.upserve.com,52.203.210.230,tcp,443,http
orders.upserve.com,52.203.210.230,tcp,443,https
payments.breadcrumb.com,52.202.57.200,tcp,443,http
payments.breadcrumb.com,52.202.57.200,tcp,443,https
payments.upserve.com,107.21.17.246,tcp,443,http
payments.upserve.com,107.21.17.246,tcp,443,https
pos.swipely.com,107.21.17.246,tcp,443,http
pos.swipely.com,107.21.17.246,tcp,443,https
reports.breadcrumb.com,35.172.14.4,tcp,80,http
reports.breadcrumb.com,35.172.14.4,tcp,443,http
reports.breadcrumb.com,35.172.14.4,tcp,443,https
reports.breadcrumb.com,35.172.14.4,tcp,8080,http
swipely-merchant-assets.s3.amazonaws.com,52.216.179.91,tcp,80,http
swipely-merchant-assets.s3.amazonaws.com,52.216.179.91,tcp,443,https
teamhelp.upserve.com,13.58.246.240,tcp,22,ssh
teamhelp.upserve.com,13.58.246.240,tcp,80,http
teamhelp.upserve.com,13.58.246.240,tcp,443,http
teamhelp.upserve.com,13.58.246.240,tcp,443,https
theacademy.upserve.com,35.221.46.9,tcp,22,ssh
theacademy.upserve.com,35.221.46.9,tcp,80,http
theacademy.upserve.com,35.221.46.9,tcp,443,http
theacademy.upserve.com,35.221.46.9,tcp,443,https
