Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.steampowered.com,23.78.49.127,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","Jun 12 00:00:00 2018 GMT","May  9 12:00:00 2020 GMT"
api.steampowered.com,23.78.49.127,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Jun 21 12:54:27 2016 GMT","Jun 21 12:54:27 2031 GMT"
developer.valvesoftware.com,172.99.115.206,tcp,443,https,0,"/C=US/ST=Washington/L=Bellevue/O=Valve Corp./OU=Valve Corp/CN=developer.valvesoftware.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Mar 29 00:00:00 2017 GMT","Apr  2 12:00:00 2020 GMT"
developer.valvesoftware.com,172.99.115.206,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
help.steampowered.com,23.78.49.127,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","Jun 12 00:00:00 2018 GMT","May  9 12:00:00 2020 GMT"
help.steampowered.com,23.78.49.127,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Jun 21 12:54:27 2016 GMT","Jun 21 12:54:27 2031 GMT"
partner.steamgames.com,23.78.49.127,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","Jun 12 00:00:00 2018 GMT","May  9 12:00:00 2020 GMT"
partner.steamgames.com,23.78.49.127,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Jun 21 12:54:27 2016 GMT","Jun 21 12:54:27 2031 GMT"
partner.steampowered.com,23.78.49.127,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","Jun 12 00:00:00 2018 GMT","May  9 12:00:00 2020 GMT"
partner.steampowered.com,23.78.49.127,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Jun 21 12:54:27 2016 GMT","Jun 21 12:54:27 2031 GMT"
playartifact.com,23.78.39.120,tcp,443,https,0,/CN=steamcommunity.com,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Mar 13 02:50:25 2019 GMT","Jun 11 02:50:25 2019 GMT"
playartifact.com,23.78.39.120,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
