Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA,Jun 12 00:00:00 2018 GMT,May  9 12:00:00 2020 GMT,10
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Jun 21 12:54:27 2016 GMT,Jun 21 12:54:27 2031 GMT,0
2,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602290773/C=US/ST=Washington/L=Bellevue/O=Valve Corporation/OU=IT/CN=store.steampowered.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Jun 22 00:00:00 2018 GMT,Jul 23 12:00:00 2020 GMT,14
2,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
2,2,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Nov 10 00:00:00 2006 GMT,Nov 10 00:00:00 2031 GMT,0
3,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Washington/serialNumber=602 290 773/C=US/ST=Washington/L=Bellevue/O=Valve Corp/CN=store.steampowered.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Mar 13 00:00:00 2019 GMT,Mar 12 12:00:00 2021 GMT,1
3,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
4,0,/CN=steamcommunity.com,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,Mar 13 02:50:25 2019 GMT,Jun 11 02:50:25 2019 GMT,48
4,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
5,0,/CN=wiki.teamfortress.com,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,May  6 11:44:36 2019 GMT,Aug  4 11:44:36 2019 GMT,3
5,1,/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3,/O=Digital Signature Trust Co./CN=DST Root CA X3,Mar 17 16:40:46 2016 GMT,Mar 17 16:40:46 2021 GMT,0
6,0,/C=US/ST=Washington/L=Bellevue/O=Valve Corp./OU=Valve Corp/CN=developer.valvesoftware.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Mar 29 00:00:00 2017 GMT,Apr  2 12:00:00 2020 GMT,1
6,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
