Chain,Depth,Type,Name
1,0,DNS,store.steampowered.com
1,0,DNS,partner.steamgames.com
1,0,DNS,help.steampowered.com
1,0,DNS,www.valvesoftware.com
1,0,DNS,api.steampowered.com
1,0,DNS,support.steampowered.com
1,0,DNS,steamcommunity.com
1,0,DNS,partner.steampowered.com
1,0,DNS,www.dota2.com
1,0,DNS,playartifact.com
2,0,DNS,aperturescience.com
2,0,DNS,community.steam-api.com
2,0,DNS,counter-strike.net
2,0,DNS,dayofdefeat.com
2,0,DNS,dota2.com
2,0,DNS,forums.l4d.com
2,0,DNS,half-life2.com
2,0,DNS,help.steampowered.com
2,0,DNS,l4d.com
2,0,DNS,learnwithportals.com
2,0,DNS,midnight-riders.com
2,0,DNS,orange.half-life2.com
2,0,DNS,partner.dota2.com
2,0,DNS,playartifact.com
2,0,DNS,s.team
2,0,DNS,source.l4d.com
2,0,DNS,sourcefilmmaker.com
2,0,DNS,steam-chat.com
2,0,DNS,steam.tv
2,0,DNS,steamcommunity.com
2,0,DNS,steamdevdays.com
2,0,DNS,steamgames.com
2,0,DNS,steampowered.com
2,0,DNS,steamvr.com
2,0,DNS,store.counter-strike.net
2,0,DNS,store.steampowered.com
2,0,DNS,store.teamfortress.com
2,0,DNS,storefront.steampowered.com
2,0,DNS,teamfortress.com
2,0,DNS,thinkwithportals.com
2,0,DNS,valvesoftware.com
2,0,DNS,www.aperturescience.com
2,0,DNS,www.counter-strike.net
2,0,DNS,www.dayofdefeat.com
2,0,DNS,www.half-life2.com
2,0,DNS,www.l4d.com
2,0,DNS,www.learnwithportals.com
2,0,DNS,www.midnight-riders.com
2,0,DNS,www.playartifact.com
2,0,DNS,www.sourcefilmmaker.com
2,0,DNS,www.steamcommunity.com
2,0,DNS,www.steamdevdays.com
2,0,DNS,www.steamgames.com
2,0,DNS,www.steampowered.com
2,0,DNS,www.steamvr.com
2,0,DNS,www.teamfortress.com
2,0,DNS,www.thinkwithportals.com
2,0,DNS,www.valvesoftware.com
3,0,DNS,prod.wiki.tf
3,0,DNS,wiki.teamfortress.com
3,0,DNS,wiki.tf2.com
4,0,DNS,store.steampowered.com
5,0,DNS,store.steampowered.com
5,0,DNS,www.steampowered.com
5,0,DNS,steamcommunity.com
5,0,DNS,help.steampowered.com
5,0,DNS,support.steampowered.com
5,0,DNS,partner.steampowered.com
5,0,DNS,partner.steamgames.com
5,0,DNS,partner.dota2.com
5,0,DNS,dota2.com
5,0,DNS,www.dota2.com
5,0,DNS,valvesoftware.com
5,0,DNS,www.valvesoftware.com
5,0,DNS,api.steampowered.com
5,0,DNS,community.steam-api.com
6,0,DNS,developer.valvesoftware.com
