Host,Address,Transport,Port,Service
api.steampowered.com,23.78.49.127,tcp,80,http
api.steampowered.com,23.78.49.127,tcp,443,https
developer.valvesoftware.com,172.99.115.206,tcp,80,http
developer.valvesoftware.com,172.99.115.206,tcp,443,http
developer.valvesoftware.com,172.99.115.206,tcp,443,https
help.steampowered.com,23.78.49.127,tcp,80,http
help.steampowered.com,23.78.49.127,tcp,443,https
partner.steamgames.com,23.78.49.127,tcp,80,http
partner.steamgames.com,23.78.49.127,tcp,443,https
partner.steampowered.com,23.78.49.127,tcp,80,http
partner.steampowered.com,23.78.49.127,tcp,443,https
playartifact.com,23.78.39.120,tcp,80,http
playartifact.com,23.78.39.120,tcp,443,https
steamcommunity.com,23.78.49.127,tcp,80,http
steamcommunity.com,23.78.49.127,tcp,443,https
store.steampowered.com,23.78.41.69,tcp,80,http
store.steampowered.com,23.78.41.69,tcp,443,https
storefront.steampowered.com,23.78.39.120,tcp,80,http
storefront.steampowered.com,23.78.39.120,tcp,443,https
support.steampowered.com,23.78.49.127,tcp,80,http
support.steampowered.com,23.78.49.127,tcp,443,https
wiki.teamfortress.com,35.227.220.185,tcp,25,smtp
wiki.teamfortress.com,35.227.220.185,tcp,80,http
wiki.teamfortress.com,35.227.220.185,tcp,110,pop3
wiki.teamfortress.com,35.227.220.185,tcp,143,imap
wiki.teamfortress.com,35.227.220.185,tcp,443,https
wiki.teamfortress.com,35.227.220.185,tcp,8080,http
www.counter-strike.net,23.78.39.120,tcp,80,http
www.counter-strike.net,23.78.39.120,tcp,443,https
www.dota2.com,192.30.31.139,tcp,80,http
www.dota2.com,192.30.31.139,tcp,443,https
www.teamfortress.com,23.78.39.120,tcp,80,http
www.teamfortress.com,23.78.39.120,tcp,443,https
www.valvesoftware.com,23.78.49.127,tcp,80,http
www.valvesoftware.com,23.78.49.127,tcp,443,https
