Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.edge.tumblr.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Apr 16 00:00:00 2019 GMT,May 31 12:00:00 2019 GMT,23
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
2,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.yahoo.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Apr 22 00:00:00 2019 GMT,Jun  6 12:00:00 2019 GMT,76
2,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
3,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=umblr.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,May  3 00:00:00 2019 GMT,Oct 30 12:00:00 2019 GMT,2
3,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
4,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=www.tumblr.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Dec  6 00:00:00 2018 GMT,Jun  4 12:00:00 2019 GMT,6
4,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
5,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.tumblr.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Feb 18 00:00:00 2019 GMT,Aug 17 12:00:00 2019 GMT,2
5,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
6,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.search.yahoo.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Feb 22 00:00:00 2019 GMT,Aug 21 12:00:00 2019 GMT,55
6,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
7,0,/C=US/ST=California/L=Sunnyvale/O=Tumblr Inc/OU=Information Technology/CN=*.media.tumblr.com,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Dec  7 00:00:00 2018 GMT,Jun  5 12:00:00 2019 GMT,14
7,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
7,2,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Nov 10 00:00:00 2006 GMT,Nov 10 00:00:00 2031 GMT,0
8,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.autos.yahoo.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Mar 18 00:00:00 2019 GMT,Sep 14 12:00:00 2019 GMT,98
8,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
8,2,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
