Host,Address,Transport,Port,Service,Component,Version
checkout.finance.yahoo.com,52.45.79.164,tcp,80,http,apache/apache,
checkout.finance.yahoo.com,52.45.79.164,tcp,443,https,apache/apache,
checkout.finance.yahoo.com,52.73.139.139,tcp,80,http,apache/apache,
checkout.finance.yahoo.com,52.73.139.139,tcp,443,https,apache/apache,
checkout.finance.yahoo.com,52.204.100.231,tcp,80,http,apache/apache,
checkout.finance.yahoo.com,52.204.100.231,tcp,443,https,apache/apache,
streamer.finance.yahoo.com,52.5.226.243,tcp,443,http,amazon/awselb,2.0
streamer.finance.yahoo.com,52.7.190.233,tcp,443,http,amazon/awselb,2.0
streamer.finance.yahoo.com,52.44.225.48,tcp,443,http,amazon/awselb,2.0
streamer.finance.yahoo.com,52.71.33.69,tcp,443,http,amazon/awselb,2.0
streamer.finance.yahoo.com,52.203.137.57,tcp,443,http,amazon/awselb,2.0
streamer.finance.yahoo.com,54.210.148.207,tcp,443,http,amazon/awselb,2.0
