Chain,Depth,Type,Name
1,0,DNS,*.edge.tumblr.com
1,0,DNS,api-http2.tumblr.com
1,0,DNS,api.tumblr.com
1,0,DNS,assets.tumblr.com
1,0,DNS,assets.txmblr.com
1,0,DNS,a.tumblr.com
1,0,DNS,embed.tumblr.com
1,0,DNS,*.global-pop.tumblr.com
1,0,DNS,*.media.tumblr.com
1,0,DNS,*.srvcs.tumblr.com
1,0,DNS,media.tumblr.com
1,0,DNS,mx.tumblr.com
1,0,DNS,platform.tumblr.com
1,0,DNS,secure.assets.tumblr.com
1,0,DNS,secure.static.tumblr.com
1,0,DNS,static.tumblr.com
1,0,DNS,tumblr.com
1,0,DNS,vtt.tumblr.com
1,0,DNS,vt.tumblr.com
1,0,DNS,v.tumblr.com
1,0,DNS,www-http2.tumblr.com
1,0,DNS,www.tumblr.com
1,0,DNS,twhbl.yahoo.com.tw
2,0,DNS,*.yahoo.com
2,0,DNS,flic.kr
2,0,DNS,flickr.com
2,0,DNS,ymail.com
2,0,DNS,s.yimg.com
2,0,DNS,*.fantasysports.yahoo.com
2,0,DNS,*.answers.yahoo.com
2,0,DNS,*.calendar.yahoo.com
2,0,DNS,*.flickr.com
2,0,DNS,*.groups.yahoo.com
2,0,DNS,*.mail.yahoo.com
2,0,DNS,*.msg.yahoo.com
2,0,DNS,*.ymail.com
2,0,DNS,*.finance.yahoo.com
2,0,DNS,*.news.yahoo.com
2,0,DNS,*.video.yahoo.com
2,0,DNS,*.m.yahoo.com
2,0,DNS,*.my.yahoo.com
2,0,DNS,*.search.yahoo.com
2,0,DNS,*.secure.yahoo.com
2,0,DNS,*.yahooapis.com
2,0,DNS,*.mg.mail.yahoo.com
2,0,DNS,*.api.fantasysports.yahoo.com
2,0,DNS,*.autos.yahoo.com
2,0,DNS,*.cricket.yahoo.com
2,0,DNS,*.football.fantasysports.yahoo.com
2,0,DNS,*.games.yahoo.com
2,0,DNS,*.lifestyle.yahoo.com
2,0,DNS,*.movies.yahoo.com
2,0,DNS,*.mujer.yahoo.com
2,0,DNS,*.music.yahoo.com
2,0,DNS,*.safely.yahoo.com
2,0,DNS,*.screen.yahoo.com
2,0,DNS,*.shine.yahoo.com
