Host,Address,Transport,Port,Service
admanager.yahoo.com,74.6.140.136,tcp,80,http
admanager.yahoo.com,74.6.140.136,tcp,443,https
admanagerplus.yahoo.com,74.6.140.136,tcp,80,http
admanagerplus.yahoo.com,74.6.140.136,tcp,443,https
api-secure.sports.yahoo.com,188.125.94.204,tcp,80,http
api-secure.sports.yahoo.com,188.125.94.204,tcp,443,https
api-secure.sports.yahoo.com,188.125.94.206,tcp,80,http
api-secure.sports.yahoo.com,188.125.94.206,tcp,443,https
assets.tumblr.com,152.199.19.43,tcp,80,http
assets.tumblr.com,152.199.19.43,tcp,443,https
checkout.finance.yahoo.com,52.45.79.164,tcp,80,http
checkout.finance.yahoo.com,52.45.79.164,tcp,443,https
checkout.finance.yahoo.com,52.73.139.139,tcp,80,http
checkout.finance.yahoo.com,52.73.139.139,tcp,443,https
checkout.finance.yahoo.com,52.204.100.231,tcp,80,http
checkout.finance.yahoo.com,52.204.100.231,tcp,443,https
embed.tumblr.com,152.199.19.43,tcp,80,http
embed.tumblr.com,152.199.19.43,tcp,443,https
finance.mobile.yahoo.com,212.82.100.142,tcp,80,http
finance.mobile.yahoo.com,212.82.100.142,tcp,443,https
finance.query.yahoo.com,212.82.100.142,tcp,80,http
finance.query.yahoo.com,212.82.100.142,tcp,443,https
finance.yahoo.com,188.125.94.204,tcp,80,http
finance.yahoo.com,188.125.94.204,tcp,443,https
finance.yahoo.com,188.125.94.206,tcp,80,http
finance.yahoo.com,188.125.94.206,tcp,443,https
gemini.yahoo.com,74.6.140.136,tcp,80,http
gemini.yahoo.com,74.6.140.136,tcp,443,https
groups.yahoo.com,188.125.94.204,tcp,80,http
groups.yahoo.com,188.125.94.204,tcp,443,https
groups.yahoo.com,188.125.94.206,tcp,80,http
groups.yahoo.com,188.125.94.206,tcp,443,https
hk.auctions.yahoo.com,124.108.115.81,tcp,80,http
hk.auctions.yahoo.com,124.108.115.81,tcp,443,https
hk.auctions.yahoo.com,180.222.102.135,tcp,80,http
hk.auctions.yahoo.com,180.222.102.135,tcp,443,https
hk.shop.yahoo.com,106.10.248.141,tcp,80,http
hk.shop.yahoo.com,106.10.248.141,tcp,443,https
mail.yahoo.com,188.125.94.204,tcp,80,http
mail.yahoo.com,188.125.94.204,tcp,443,https
mail.yahoo.com,188.125.94.206,tcp,80,http
mail.yahoo.com,188.125.94.206,tcp,443,https
monetization.flurry.com,74.6.140.136,tcp,80,http
monetization.flurry.com,74.6.140.136,tcp,443,https
news.yahoo.com,212.82.100.157,tcp,80,http
news.yahoo.com,212.82.100.157,tcp,443,https
rtn.groups.yahoodns.net,66.218.86.41,tcp,25,smtp
safe.tumblr.com,66.6.32.21,tcp,80,http
safe.tumblr.com,66.6.32.21,tcp,443,http
safe.tumblr.com,66.6.32.21,tcp,443,https
safe.tumblr.com,66.6.33.21,tcp,80,http
safe.tumblr.com,66.6.33.21,tcp,443,http
safe.tumblr.com,66.6.33.21,tcp,443,https
safe.tumblr.com,66.6.33.149,tcp,80,http
safe.tumblr.com,66.6.33.149,tcp,443,http
safe.tumblr.com,66.6.33.149,tcp,443,https
search.yahoo.com,212.82.100.137,tcp,80,http
search.yahoo.com,212.82.100.137,tcp,443,https
secure.tumblr.com,66.6.32.31,tcp,80,http
