Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.vhx.tv,151.101.36.175,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=*.c.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Mar 29 20:18:09 2019 GMT","Sep 27 15:41:29 2019 GMT"
api.vhx.tv,151.101.36.175,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
embed.vhx.tv,151.101.36.175,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=*.c.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Mar 29 20:18:09 2019 GMT","Sep 27 15:41:29 2019 GMT"
embed.vhx.tv,151.101.36.175,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
vhx.tv,23.21.160.199,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
vhx.tv,23.21.160.199,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
vhx.tv,23.21.160.199,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
vhx.tv,23.21.247.103,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
vhx.tv,23.21.247.103,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
vhx.tv,23.21.247.103,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
vhx.tv,54.243.112.139,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
vhx.tv,54.243.112.139,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
vhx.tv,54.243.112.139,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.vhx.tv,23.21.160.199,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
www.vhx.tv,23.21.160.199,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
www.vhx.tv,23.21.160.199,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.vhx.tv,23.21.247.103,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
www.vhx.tv,23.21.247.103,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
www.vhx.tv,23.21.247.103,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.vhx.tv,54.243.112.139,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.vhx.tv","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  5 00:00:00 2018 GMT","Sep  8 23:59:59 2019 GMT"
www.vhx.tv,54.243.112.139,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
www.vhx.tv,54.243.112.139,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
