Host,Address,Transport,Port,Service,Component,Version
api.vhx.tv,151.101.36.175,tcp,443,https,nginx/nginx,
vhx.tv,23.21.160.199,tcp,80,http,nginx/nginx,
vhx.tv,23.21.160.199,tcp,443,https,nginx/nginx,
vhx.tv,23.21.247.103,tcp,80,http,nginx/nginx,
vhx.tv,23.21.247.103,tcp,443,https,nginx/nginx,
vhx.tv,54.243.112.139,tcp,80,http,nginx/nginx,
vhx.tv,54.243.112.139,tcp,443,https,nginx/nginx,
www.vhx.tv,23.21.160.199,tcp,80,http,nginx/nginx,
www.vhx.tv,23.21.160.199,tcp,443,https,nginx/nginx,
www.vhx.tv,23.21.247.103,tcp,80,http,nginx/nginx,
www.vhx.tv,23.21.247.103,tcp,443,https,nginx/nginx,
www.vhx.tv,54.243.112.139,tcp,80,http,nginx/nginx,
www.vhx.tv,54.243.112.139,tcp,443,https,nginx/nginx,
