Chain,Depth,Type,Name
1,0,DNS,*.c.ssl.fastly.net
1,0,DNS,*.beamly.com
1,0,DNS,*.blendle.nl
1,0,DNS,*.ibmserviceengage.com
1,0,DNS,*.innogamescdn.com
1,0,DNS,*.krux.com
1,0,DNS,*.krxd.net
1,0,DNS,*.metrological.com
1,0,DNS,*.modeanalytics.com
1,0,DNS,*.otoycdn.net
1,0,DNS,*.planet-labs.com
1,0,DNS,*.pypa.io
1,0,DNS,*.python.org
1,0,DNS,*.scribd.com
1,0,DNS,*.swarmapp.com
1,0,DNS,*.theoutbound.com
1,0,DNS,*.udemy.com
1,0,DNS,*.url2png.com
1,0,DNS,*.ustream.tv
1,0,DNS,*.vhx.tv
1,0,DNS,*.x.io
1,0,DNS,api.keep.com
1,0,DNS,assets.trabiancdn.com
1,0,DNS,ast1.r10.io
1,0,DNS,blendle.nl
1,0,DNS,cdn.brandisty.com
1,0,DNS,cdn.evbuc.com
1,0,DNS,images.rakuten.com
1,0,DNS,img.rakuten.com
1,0,DNS,img1.r10.io
1,0,DNS,js-agent.newrelic.com
1,0,DNS,krux.com
1,0,DNS,modeanalytics.com
1,0,DNS,pypa.io
1,0,DNS,s.t.st
1,0,DNS,scribd.com
1,0,DNS,secure.lessthan3.com
1,0,DNS,udemy.com
1,0,DNS,www.dwin1.com
1,0,DNS,www.piriform.com
1,0,DNS,c.ssl.fastly.net
2,0,DNS,*.vhx.tv
2,0,DNS,vhx.tv
