Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.vimeo.com,151.101.0.217,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Aug 24 00:00:00 2018 GMT","Apr  2 12:00:00 2020 GMT"
api.vimeo.com,151.101.0.217,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
api.vimeo.com,151.101.64.217,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Aug 24 00:00:00 2018 GMT","Apr  2 12:00:00 2020 GMT"
api.vimeo.com,151.101.64.217,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
api.vimeo.com,151.101.128.217,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Aug 24 00:00:00 2018 GMT","Apr  2 12:00:00 2020 GMT"
api.vimeo.com,151.101.128.217,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
api.vimeo.com,151.101.192.217,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Aug 24 00:00:00 2018 GMT","Apr  2 12:00:00 2020 GMT"
api.vimeo.com,151.101.192.217,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
checkout.vimeo.com,52.222.157.47,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec 11 00:00:00 2017 GMT","Mar 20 12:00:00 2020 GMT"
checkout.vimeo.com,52.222.157.47,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
checkout.vimeo.com,52.222.157.159,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Vimeo, LLC/CN=*.vimeo.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Dec 11 00:00:00 2017 GMT","Mar 20 12:00:00 2020 GMT"
checkout.vimeo.com,52.222.157.159,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
