Host,Address,Transport,Port,Service
api.vimeo.com,151.101.0.217,tcp,80,http
api.vimeo.com,151.101.0.217,tcp,443,https
api.vimeo.com,151.101.64.217,tcp,80,http
api.vimeo.com,151.101.64.217,tcp,443,https
api.vimeo.com,151.101.128.217,tcp,80,http
api.vimeo.com,151.101.128.217,tcp,443,https
api.vimeo.com,151.101.192.217,tcp,80,http
api.vimeo.com,151.101.192.217,tcp,443,https
checkout.vimeo.com,13.33.23.106,tcp,80,http
checkout.vimeo.com,13.33.23.106,tcp,443,http
checkout.vimeo.com,13.33.23.106,tcp,443,https
checkout.vimeo.com,13.33.23.191,tcp,80,http
checkout.vimeo.com,13.33.23.191,tcp,443,http
checkout.vimeo.com,13.33.23.191,tcp,443,https
checkout.vimeo.com,13.33.23.217,tcp,80,http
checkout.vimeo.com,13.33.23.217,tcp,443,http
checkout.vimeo.com,13.33.23.217,tcp,443,https
checkout.vimeo.com,13.33.23.248,tcp,80,http
checkout.vimeo.com,13.33.23.248,tcp,443,http
checkout.vimeo.com,13.33.23.248,tcp,443,https
player.vimeo.com,151.101.84.217,tcp,80,http
player.vimeo.com,151.101.84.217,tcp,443,https
vimeo.com,151.101.0.217,tcp,80,http
vimeo.com,151.101.0.217,tcp,443,https
vimeo.com,151.101.64.217,tcp,80,http
vimeo.com,151.101.64.217,tcp,443,https
vimeo.com,151.101.128.217,tcp,80,http
vimeo.com,151.101.128.217,tcp,443,https
vimeo.com,151.101.192.217,tcp,80,http
vimeo.com,151.101.192.217,tcp,443,https
vimeopro.com,184.73.186.224,tcp,80,http
vimeopro.com,184.73.186.224,tcp,443,http
vimeopro.com,184.73.186.224,tcp,443,https
www.vimeo.com,151.101.0.217,tcp,80,http
www.vimeo.com,151.101.0.217,tcp,443,https
www.vimeo.com,151.101.64.217,tcp,80,http
www.vimeo.com,151.101.64.217,tcp,443,https
www.vimeo.com,151.101.128.217,tcp,80,http
www.vimeo.com,151.101.128.217,tcp,443,https
www.vimeo.com,151.101.192.217,tcp,80,http
www.vimeo.com,151.101.192.217,tcp,443,https
