Host,Address,Transport,Port,Service,Component,Version
developer.zendesk.com,104.16.18.13,tcp,80,http,cloudflare/cloudflare,
developer.zendesk.com,104.16.18.13,tcp,443,http,cloudflare/cloudflare,
developer.zendesk.com,104.16.18.13,tcp,443,https,cloudflare/cloudflare,
developer.zendesk.com,104.16.19.13,tcp,80,http,cloudflare/cloudflare,
developer.zendesk.com,104.16.19.13,tcp,443,http,cloudflare/cloudflare,
developer.zendesk.com,104.16.19.13,tcp,443,https,cloudflare/cloudflare,
h1-your-domain.zendesk.com,34.206.241.1,tcp,80,http,nginx/nginx,
h1-your-domain.zendesk.com,34.206.241.1,tcp,443,http,nginx/nginx,
h1-your-domain.zendesk.com,34.206.241.1,tcp,443,https,nginx/nginx,
h1-your-domain.zendesk.com,34.225.199.37,tcp,80,http,nginx/nginx,
h1-your-domain.zendesk.com,34.225.199.37,tcp,443,http,nginx/nginx,
h1-your-domain.zendesk.com,34.225.199.37,tcp,443,https,nginx/nginx,
h1-your-domain.zendesk.com,54.172.126.223,tcp,80,http,nginx/nginx,
h1-your-domain.zendesk.com,54.172.126.223,tcp,443,http,nginx/nginx,
h1-your-domain.zendesk.com,54.172.126.223,tcp,443,https,nginx/nginx,
www.zendesk.com,104.16.18.13,tcp,80,http,cloudflare/cloudflare,
www.zendesk.com,104.16.18.13,tcp,443,http,cloudflare/cloudflare,
www.zendesk.com,104.16.18.13,tcp,443,https,cloudflare/cloudflare,
www.zendesk.com,104.16.18.13,tcp,8080,http,cloudflare/cloudflare,
www.zendesk.com,104.16.19.13,tcp,80,http,cloudflare/cloudflare,
www.zendesk.com,104.16.19.13,tcp,443,http,cloudflare/cloudflare,
www.zendesk.com,104.16.19.13,tcp,443,https,cloudflare/cloudflare,
www.zendesk.com,104.16.19.13,tcp,8080,http,cloudflare/cloudflare,
