Host,Address,Transport,Port,Service
developer.zendesk.com,104.16.18.13,tcp,80,http
developer.zendesk.com,104.16.18.13,tcp,443,http
developer.zendesk.com,104.16.18.13,tcp,443,https
developer.zendesk.com,104.16.18.13,tcp,8080,unknown
developer.zendesk.com,104.16.18.13,tcp,8443,unknown
developer.zendesk.com,104.16.19.13,tcp,80,http
developer.zendesk.com,104.16.19.13,tcp,443,http
developer.zendesk.com,104.16.19.13,tcp,443,https
developer.zendesk.com,104.16.19.13,tcp,8080,unknown
developer.zendesk.com,104.16.19.13,tcp,8443,unknown
h1-your-domain.zendesk.com,34.206.241.1,tcp,80,http
h1-your-domain.zendesk.com,34.206.241.1,tcp,443,http
h1-your-domain.zendesk.com,34.206.241.1,tcp,443,https
h1-your-domain.zendesk.com,34.225.199.37,tcp,80,http
h1-your-domain.zendesk.com,34.225.199.37,tcp,443,http
h1-your-domain.zendesk.com,34.225.199.37,tcp,443,https
h1-your-domain.zendesk.com,54.172.126.223,tcp,80,http
h1-your-domain.zendesk.com,54.172.126.223,tcp,443,http
h1-your-domain.zendesk.com,54.172.126.223,tcp,443,https
www.zendesk.com,104.16.18.13,tcp,80,http
www.zendesk.com,104.16.18.13,tcp,443,http
www.zendesk.com,104.16.18.13,tcp,443,https
www.zendesk.com,104.16.18.13,tcp,8080,http
www.zendesk.com,104.16.18.13,tcp,8443,unknown
www.zendesk.com,104.16.19.13,tcp,80,http
www.zendesk.com,104.16.19.13,tcp,443,http
www.zendesk.com,104.16.19.13,tcp,443,https
www.zendesk.com,104.16.19.13,tcp,8080,http
www.zendesk.com,104.16.19.13,tcp,8443,unknown
